source,path,label,group,label_source,accel_file,gyro_file
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole,ROAD_ANOMALY,Road Anomalies/14. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole,ROAD_ANOMALY,Road Anomalies/15. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole,ROAD_ANOMALY,Road Anomalies/16. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole,ROAD_ANOMALY,Road Anomalies/17. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump,ROAD_ANOMALY,Road Anomalies/2. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump,ROAD_ANOMALY,Road Anomalies/3. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump,ROAD_ANOMALY,Road Anomalies/4. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump,ROAD_ANOMALY,Road Anomalies/5. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump,ROAD_ANOMALY,Road Anomalies/6. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump,ROAD_ANOMALY,Road Anomalies/7. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump,ROAD_ANOMALY,Road Anomalies/8. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump,ROAD_ANOMALY,Road Anomalies/9. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump\Gyroscope.csv
